Latency,Throughput
0.233236,4.287502786876812
0.240626,4.1558268848752835
0.260527,3.8383737578062926
0.223282,4.478641359357225
0.216597,4.616869116377419
0.256178,3.9035358227482453
0.227804,4.38973854717213
0.224913,4.446163627713827
0.284563,3.5141603089649744
0.220273,4.539821040254593
0.263134,3.8003450713324773
0.253112,3.9508201902715
0.224131,4.461676430301922
0.237148,4.21677602172483
0.227921,4.387485137394097
0.219355,4.558820177338105
0.227485,4.395894234784711
0.240557,4.157018918593098
0.220144,4.5424812849771055
0.258456,3.8691305289875255
0.27481,3.6388777700957027
0.217688,4.593730476645474
0.263422,3.7961901435719114
0.224536,4.453628816759895
0.252019,3.967954797058952
0.245388,4.075178900353726
0.280962,3.559200176536329
0.255495,3.91397091919607
0.24573,4.069507182680177
0.307615,3.2508167677128874
0.2369,4.221190375685944
0.262707,3.8065220949575
0.23364,4.280089025851738
0.225618,4.432270474873459
0.221004,4.524804980905323
0.247575,4.0391800464505705
0.230106,4.345823229294325
0.249036,4.015483705167124
0.230671,4.3351786743890655
0.278437,3.591476707477814
0.28931,3.4564999481525005
0.22036,4.5380286803412595
0.252626,3.958420748458195
0.317682,3.1478018899402547
0.318446,3.1402498382771333
0.274054,3.648915907084005
0.231364,4.3221935996957175
0.301486,3.3169036041474564
0.2607,3.8358266206367473
0.277796,3.59976385549108
0.216483,4.619300360767358
0.269315,3.7131240369084524
0.224135,4.461596805496687
0.269873,3.705446636010272
0.296925,3.367853835143555
0.272705,3.6669661355677383
0.271277,3.6862690165402894
0.215049,4.650102999781446
0.296665,3.370805453963224
0.230324,4.341709939042392
0.21462,4.659398005777653
0.216254,4.6241919224615495
0.260844,3.8337090368189415
0.236675,4.225203337910637
0.301538,3.3163316066300106
0.306601,3.2615679661840633
0.26002,3.845858010922237
0.324599,3.0807242166488495
0.261097,3.8299942167087324
0.248178,4.0293660195504835
0.265874,3.7611801078706457
0.292106,3.4234147877825176
0.276767,3.613147521200143
0.223636,4.471551986263393
0.271012,3.689873511136039
0.23196,4.311088118641145
0.307713,3.2497814521973396
0.211816,4.721078672054991
0.247,4.048582995951417
0.215895,4.631881238565043
0.222061,4.503267120295774
0.226121,4.422411010034451
0.251975,3.968647683301915
0.254769,3.9251243283130988
0.225593,4.432761654838581
0.275251,3.633047654686086
0.231266,4.324025148530263
0.250231,3.9963074119513573
0.306472,3.2629408233052284
0.225592,4.432781304301571
0.216549,4.617892486227136
0.252771,3.9561500330338526
0.267607,3.7368230277982266
0.218861,4.569110074430803
0.222921,4.485894105983734
0.270086,3.70252438112305
0.252239,3.9644939918093556
0.235814,4.240630327291849
0.269493,3.7106715202250156
0.243971,4.098847813879519
