Linux 5.4.0-164-generic (node-0.load-balance.autondp-pg0.utah.cloudlab.us) 	03/12/2024 	_x86_64_	(32 CPU)

03:43:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:45:06 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:45:07 PM     all      0.75      0.00      0.06      0.00      0.00     99.19
03:45:08 PM     all      0.19      0.00      0.16      0.00      0.00     99.66
03:45:09 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:45:10 PM     all      0.13      0.00      0.16      0.00      0.00     99.72
03:45:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:12 PM     all      0.12      0.00      0.03      0.00      0.00     99.84
03:45:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:14 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:45:15 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:45:16 PM     all      0.06      0.00      0.00      0.03      0.00     99.91
03:45:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:18 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:45:19 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:45:20 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:45:21 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:45:22 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:45:23 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:45:24 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:45:25 PM     all      0.25      0.00      0.16      0.00      0.00     99.59
03:45:26 PM     all      0.06      0.00      0.06      0.00      0.00     99.88
03:45:27 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:45:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:45:30 PM     all      0.91      0.00      0.09      0.00      0.00     99.00
03:45:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:32 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:45:33 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:45:34 PM     all      0.09      0.00      0.00      0.00      0.00     99.91
03:45:35 PM     all      0.12      0.00      0.19      0.00      0.00     99.69
03:45:36 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:45:37 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:45:38 PM     all      0.09      0.00      0.03      0.00      0.00     99.88
03:45:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:45:40 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:45:41 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:45:42 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:45:43 PM     all      0.03      0.00      0.03      0.03      0.00     99.91
03:45:44 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:45:45 PM     all      0.72      0.00      0.06      0.00      0.00     99.22
03:45:46 PM     all      0.16      0.00      0.03      0.00      0.00     99.81
03:45:47 PM     all      0.09      0.00      0.12      0.00      0.00     99.78
03:45:48 PM     all      0.28      0.00      0.00      0.00      0.00     99.72
03:45:49 PM     all      0.12      0.00      0.00      0.00      0.00     99.88
03:45:50 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
03:45:51 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
