Batch Size,Mean Latency,Median Latency,Time Taken
115,0.3993409256956353,0.4161592920027033,2.713285100999201
116,0.39750564264670235,0.4014265069999965,2.765194210001937
117,0.4070551412904988,0.41610519000096247,2.77889703099936
118,0.3969524640933896,0.4053203820003546,2.7531716789999336
119,0.3996494546637613,0.4129498029979004,2.7914779860002454
120,0.4065198458082705,0.4092760029998317,2.8308597520008334
121,0.4203038779750018,0.41967632899832097,2.876676829000644
122,0.400794630696763,0.40827572399939527,2.8851023469978827
123,0.40379347783755665,0.4073329429993464,2.880816095999762
124,0.41858856395162636,0.427159295999445,2.9010995489989
125,0.41036953055189224,0.4114918449995457,2.6380050300031144
126,0.42032486061895996,0.4303667010026402,2.6627978029973747
127,0.4269394788033259,0.4384426219985471,2.7223332099965774
128,0.4150931666719657,0.4226187469976139,2.6792849550001847
129,0.4191389297441272,0.42236289699940244,2.7115358789997117
130,0.4423047332461395,0.4460481880014413,2.7496451740007615
131,0.41246317505339053,0.42793516500023543,2.7476850749990263
132,0.4264827623941473,0.43539352500010864,2.8031446629975107
133,0.42450552183474527,0.4242187540003215,2.816630156001338
134,0.4257880233434757,0.43445245700058877,2.8434401890008303
135,0.4368011589258795,0.43921615599902,2.867978584999946
136,0.4298496214854394,0.4341334070013545,2.872787688000244
137,0.4254709079926806,0.43806898099865066,2.8716572569974232
138,0.42659220812319015,0.4317661019995285,2.9305198969996127
139,0.4417168303020288,0.44903773499754607,2.948958354001661
140,0.43208343405705296,0.4347358710001572,2.947427819999575
141,0.4318377245813571,0.44032346599851735,2.9376579390009283
142,0.4397087878944763,0.4468166629994812,2.9639963839981647
143,0.4382158131325427,0.4421890509984223,2.857205515003443
144,0.43787460236113573,0.449340694998682,2.927171144001477
145,0.44210210415855317,0.444350943002064,2.896514716998354
146,0.4442311250615902,0.45720885600167094,2.9498147500016785
147,0.4468665921701117,0.4494118510010594,2.9569777970027644
148,0.44338606257428476,0.4437277629986056,3.003450194002653
149,0.4485270726575943,0.45405317899712827,3.0068720119998034
150,0.4622470834001433,0.4607500380006968,3.0498193580024235
151,0.4454611447947522,0.4485972000002221,3.034755082000629
152,0.45693369253268956,0.46338125100010075,3.0496939750009915
153,0.4621691576275243,0.4711676270017051,3.0858900589992118
